Epoch,Loss1,Loss2,Loss3,Fscorecurr,Fscoremax
0,1.0416,1.0916,2.1332,0.5906,0.5906
1,0.9336,0.9288,1.8624,0.5927,0.5927
2,0.8723,0.8653,1.7376,0.6149,0.6149
3,0.8282,0.8428,1.671,0.6,0.6149
4,0.7982,0.8193,1.6175,0.5813,0.6149
5,0.7632,0.7796,1.5428,0.592,0.6149
6,0.7477,0.7982,1.5459,0.6024,0.6149
7,0.7326,0.7556,1.4882,0.6223,0.6223
8,0.7149,0.7558,1.4707,0.5697,0.6223
9,0.709,0.7764,1.4854,0.5945,0.6223
10,0.7095,0.7453,1.4547,0.5909,0.6223
11,0.6969,0.7199,1.4168,0.5946,0.6223
12,0.6666,0.7322,1.3988,0.5978,0.6223
13,0.6703,0.7122,1.3825,0.5887,0.6223
14,0.6617,0.7255,1.3872,0.5852,0.6223
15,0.6486,0.7328,1.3815,0.578,0.6223
16,0.6324,0.7072,1.3395,0.5702,0.6223
17,0.6265,0.688,1.3145,0.5758,0.6223
18,0.6236,0.6907,1.3144,0.5784,0.6223
19,0.6228,0.6872,1.3101,0.5843,0.6223
20,0.6188,0.6474,1.2661,0.6022,0.6223
21,0.6055,0.6583,1.2638,0.5742,0.6223
22,0.5864,0.6399,1.2263,0.5788,0.6223
23,0.5871,0.6435,1.2306,0.6034,0.6223
24,0.5794,0.638,1.2174,0.6118,0.6223
25,0.5768,0.6406,1.2173,0.5611,0.6223
26,0.5667,0.6281,1.1948,0.567,0.6223
27,0.5665,0.628,1.1945,0.588,0.6223
28,0.5631,0.6114,1.1744,0.6036,0.6223
29,0.549,0.6359,1.1849,0.5881,0.6223
30,0.5544,0.6098,1.1642,0.5569,0.6223
31,0.5354,0.6044,1.1397,0.5891,0.6223
32,0.5379,0.6026,1.1405,0.5505,0.6223
33,0.5243,0.5969,1.1212,0.5803,0.6223
34,0.5309,0.5898,1.1208,0.5746,0.6223
35,0.5245,0.5931,1.1176,0.5996,0.6223
36,0.5044,0.5796,1.084,0.5825,0.6223
37,0.506,0.5983,1.1043,0.594,0.6223
38,0.4974,0.5863,1.0838,0.5638,0.6223
39,0.4998,0.5693,1.0691,0.5691,0.6223
40,0.4913,0.5784,1.0697,0.5821,0.6223
41,0.4845,0.5565,1.041,0.5774,0.6223
42,0.4911,0.573,1.0641,0.6012,0.6223
43,0.4705,0.5538,1.0243,0.5835,0.6223
44,0.4738,0.5451,1.0188,0.5453,0.6223
45,0.4699,0.5413,1.0111,0.5739,0.6223
46,0.4882,0.5306,1.0187,0.5554,0.6223
47,0.4754,0.5426,1.018,0.5838,0.6223
48,0.468,0.5454,1.0133,0.5794,0.6223
49,0.4651,0.532,0.9971,0.5425,0.6223
50,0.464,0.5106,0.9746,0.5881,0.6223
51,0.4626,0.5168,0.9795,0.5667,0.6223
52,0.4489,0.5252,0.974,0.5694,0.6223
53,0.4398,0.5003,0.9401,0.5662,0.6223
54,0.4463,0.5184,0.9647,0.5566,0.6223
55,0.4437,0.5021,0.9458,0.5704,0.6223
56,0.4513,0.4817,0.933,0.5734,0.6223
57,0.4292,0.4809,0.9101,0.558,0.6223
58,0.4261,0.4888,0.9149,0.5891,0.6223
59,0.4178,0.4775,0.8952,0.5634,0.6223
60,0.4222,0.47,0.8922,0.5563,0.6223
61,0.4237,0.47,0.8937,0.5631,0.6223
62,0.4174,0.4885,0.9059,0.5621,0.6223
63,0.4189,0.4759,0.8948,0.5789,0.6223
64,0.4125,0.4628,0.8754,0.5765,0.6223
65,0.4104,0.4599,0.8704,0.576,0.6223
66,0.4118,0.4674,0.8791,0.5773,0.6223
67,0.4077,0.4461,0.8538,0.5595,0.6223
68,0.4005,0.4355,0.836,0.569,0.6223
69,0.3963,0.4593,0.8556,0.5627,0.6223
70,0.4032,0.4439,0.847,0.5773,0.6223
71,0.3918,0.4343,0.8261,0.5658,0.6223
72,0.4015,0.4347,0.8362,0.5733,0.6223
73,0.3967,0.4262,0.8229,0.5888,0.6223
74,0.3971,0.4337,0.8308,0.5704,0.6223
75,0.3801,0.4348,0.8149,0.5495,0.6223
76,0.3821,0.4224,0.8045,0.5574,0.6223
77,0.3811,0.4248,0.8059,0.5702,0.6223
78,0.3835,0.4142,0.7976,0.5704,0.6223
79,0.375,0.41,0.785,0.5698,0.6223
80,0.3727,0.4041,0.7768,0.5571,0.6223
81,0.3758,0.4118,0.7876,0.5612,0.6223
82,0.3767,0.4029,0.7796,0.5525,0.6223
83,0.366,0.3978,0.7637,0.5475,0.6223
84,0.3659,0.4003,0.7662,0.5725,0.6223
85,0.3705,0.3874,0.758,0.5665,0.6223
86,0.3676,0.3927,0.7603,0.5518,0.6223
87,0.3559,0.3862,0.7421,0.5614,0.6223
88,0.362,0.3727,0.7347,0.5554,0.6223
89,0.3586,0.3657,0.7243,0.5571,0.6223
90,0.3572,0.3724,0.7296,0.5511,0.6223
91,0.3661,0.378,0.7441,0.5621,0.6223
