Epoch,Loss1,Loss2,Loss3,Fscorecurr,Fscoremax
0,1.0092,1.0036,2.0128,0.414,0.414
1,0.9513,0.8446,1.7959,0.4178,0.4178
2,0.8928,0.7868,1.6796,0.4179,0.4179
3,0.8547,0.7524,1.6071,0.4148,0.4179
4,0.8068,0.7587,1.5655,0.4148,0.4179
5,0.7861,0.732,1.5182,0.4149,0.4179
6,0.7332,0.6932,1.4264,0.4148,0.4179
7,0.7036,0.7103,1.4139,0.4217,0.4217
8,0.7012,0.7135,1.4147,0.4261,0.4261
9,0.7379,0.6938,1.4317,0.4218,0.4261
10,0.6705,0.7109,1.3814,0.4386,0.4386
11,0.6878,0.7256,1.4134,0.4302,0.4386
12,0.6318,0.6995,1.3313,0.4309,0.4386
13,0.6445,0.7015,1.346,0.4309,0.4386
14,0.6454,0.7182,1.3636,0.4481,0.4481
15,0.6059,0.701,1.307,0.42,0.4481
16,0.5963,0.6835,1.2798,0.4107,0.4481
17,0.6123,0.6402,1.2525,0.4335,0.4481
18,0.5714,0.6673,1.2387,0.4447,0.4481
19,0.596,0.6444,1.2404,0.4411,0.4481
20,0.5593,0.6632,1.2224,0.4132,0.4481
21,0.5584,0.6494,1.2078,0.4183,0.4481
22,0.5334,0.687,1.2204,0.3935,0.4481
23,0.5769,0.66,1.2369,0.4374,0.4481
24,0.5187,0.678,1.1967,0.4066,0.4481
25,0.5414,0.6301,1.1716,0.4489,0.4489
26,0.5226,0.6618,1.1844,0.4211,0.4489
27,0.5225,0.6548,1.1773,0.4235,0.4489
28,0.5125,0.64,1.1525,0.3985,0.4489
29,0.5044,0.6472,1.1516,0.4309,0.4489
30,0.5108,0.6965,1.2074,0.3927,0.4489
31,0.5211,0.6617,1.1828,0.4221,0.4489
32,0.4987,0.6063,1.1051,0.4313,0.4489
33,0.485,0.5866,1.0715,0.4062,0.4489
34,0.4833,0.65,1.1333,0.4287,0.4489
35,0.4752,0.6013,1.0765,0.4383,0.4489
36,0.4531,0.6542,1.1073,0.3977,0.4489
37,0.477,0.5882,1.0652,0.3989,0.4489
38,0.4643,0.6021,1.0664,0.4183,0.4489
39,0.5008,0.6071,1.1079,0.4403,0.4489
40,0.4429,0.638,1.0809,0.4112,0.4489
41,0.4505,0.6174,1.0679,0.4401,0.4489
42,0.4719,0.6159,1.0878,0.4187,0.4489
43,0.4339,0.6126,1.0465,0.4692,0.4692
44,0.4327,0.6036,1.0363,0.4183,0.4692
45,0.4461,0.5687,1.0148,0.4626,0.4692
46,0.4201,0.5704,0.9905,0.4255,0.4692
47,0.4373,0.5687,1.006,0.4321,0.4692
48,0.4055,0.5787,0.9843,0.4376,0.4692
49,0.4196,0.6162,1.0358,0.4221,0.4692
50,0.4279,0.5695,0.9974,0.4369,0.4692
51,0.4321,0.5933,1.0254,0.4409,0.4692
52,0.4189,0.5515,0.9704,0.4412,0.4692
53,0.4196,0.5988,1.0184,0.436,0.4692
54,0.4264,0.572,0.9984,0.4371,0.4692
55,0.4197,0.5941,1.0138,0.4265,0.4692
56,0.4065,0.5591,0.9656,0.4183,0.4692
57,0.4227,0.558,0.9808,0.4489,0.4692
58,0.4074,0.5911,0.9985,0.4632,0.4692
59,0.3975,0.554,0.9515,0.418,0.4692
60,0.4147,0.5663,0.981,0.4479,0.4692
61,0.3972,0.5429,0.9401,0.4631,0.4692
62,0.4086,0.5852,0.9939,0.4035,0.4692
63,0.3868,0.5384,0.9253,0.4589,0.4692
64,0.411,0.5422,0.9533,0.4589,0.4692
65,0.3795,0.574,0.9535,0.4357,0.4692
66,0.3964,0.6047,1.0011,0.4627,0.4692
67,0.3852,0.5629,0.9481,0.4319,0.4692
68,0.4094,0.605,1.0144,0.4356,0.4692
69,0.3716,0.559,0.9306,0.4226,0.4692
